
beat  bar.beat  sounding (low->high)
 138.5   35.3.5  D2 A2 D3 E3 F#3 A3 D4 E4 F#4 A4 E5 F#5 E6 F#6
 139.0   35.4.0  D2 A2 D3 E3 F#3 A3 D4 E4 F#4 A4 E5 F#5 F#6
 139.5   35.4.5  D2 A2 D3 E3 F#3 A3 D4 E4 F#4 A4 E5 F#5 F#6
 140.0   36.1.0  D2 A2 D3 E3 F#3 A3 D4 E4 F#4 A4

PARALLEL 8ve low brass at beat 33.0: D2-D3 -> Ab2-Ab3
PARALLEL 8ve low brass at beat 34.0: Ab2-Ab3 -> D3-D4
PARALLEL 8ve low brass at beat 41.0: D2-D3 -> Ab2-Ab3
PARALLEL 8ve low brass at beat 42.0: Ab2-Ab3 -> D3-D4
PARALLEL 8ve low brass at beat 44.0: D3-D4 -> D2-D3
PARALLEL 8ve low brass at beat 102.0: D2-D4 -> C2-C4
PARALLEL 8ve low brass at beat 104.0: C2-C4 -> A1-A3
PARALLEL 8ve low brass at beat 120.0: F#1-F#3 -> G1-G3
